;#;N;PLAYER;A;BORN;BIRTHPLACE;HT;WT;S;Saison;Poste
260;;;Guillaume Solves (F);45;1979;;180;67;-0;2005-2006;FORWARDS
264;;;Thomas Picavet (G);39;1985;Toulouse, FRA;177;69;L;2006-2007;FORWARDS
265;;;Raphaël Vincent (G);42;1981;Toulouse, FRA;172;70;L;2006-2007;FORWARDS
267;;;Gérald Arce (D);37;1986;;172;72;-0;2006-2007;DEFENSEMEN
268;;;Nicolas Blum (D);39;1984;;165;65;R;2006-2007;DEFENSEMEN
269;;;Damien Gadiot (D);38;1985;Toulouse, FRA;180;78;L;2006-2007;DEFENSEMEN
270;;;Benoît Pourtanel (D);50;1974;Ris-Orangis, FRA;180;86;L;2006-2007;DEFENSEMEN
271;;;"Terry Prunier (D)""A""";40;1984;Rouen, FRA;186;88;L;2006-2007;DEFENSEMEN
273;;;Pierre Audevard (F);38;1986;;187;70;-0;2006-2007;FORWARDS
274;;;Lionel Barin (F);56;1968;;172;82;-0;2006-2007;FORWARDS
275;;;Dominique Blondin (F);57;1967;;173;75;-0;2006-2007;FORWARDS
276;;;Alexis Codevelle (F);37;1986;Lyon, FRA;180;65;L;2006-2007;FORWARDS
277;;;"Emmanuel Delpet (F)""A""";47;1977;;175;71;-0;2006-2007;FORWARDS
278;;;"Olivier Escuder (F)""C""";46;1977;;185;80;-0;2006-2007;FORWARDS
279;;;Christophe Ribanelli (C);46;1977;Le Plessis-Bouchard, FRA;172;68;L;2006-2007;FORWARDS
280;;;David Ribanelli (F);54;1970;Ermont, FRA;175;75;R;2006-2007;FORWARDS
281;;;Guillaume Solves (F);45;1979;;180;67;-0;2006-2007;FORWARDS
282;;;Thibaut Villemejane (F);39;1985;;183;75;L;2006-2007;FORWARDS
286;;;Thomas Picavet (G);39;1985;Toulouse, FRA;177;69;L;2007-2008;FORWARDS
287;;;Raphaël Vincent (G);42;1981;Toulouse, FRA;172;70;L;2007-2008;FORWARDS
289;;;Nicolas Blum (D);39;1984;;165;65;R;2007-2008;DEFENSEMEN
290;;;Benoît Pourtanel (D);50;1974;Ris-Orangis, FRA;180;86;L;2007-2008;DEFENSEMEN
291;;;"Terry Prunier (D)""A""";40;1984;Rouen, FRA;186;88;L;2007-2008;DEFENSEMEN
292;;;Harold Ten Braak (D);39;1984;Dammarie-les-Lys, FRA;187;80;L;2007-2008;DEFENSEMEN
294;;;Pierre Audevard (F);38;1986;;187;70;-0;2007-2008;FORWARDS
295;;;Maxime Badets (F);38;1985;Mont-de-Marsan, FRA;180;92;L;2007-2008;FORWARDS
296;;;Lionel Barin (F);56;1968;;172;82;-0;2007-2008;FORWARDS
297;;;Kévin Benchabane (F);35;1988;Epinal, FRA;180;76;L;2007-2008;FORWARDS
298;;;"Dominique Blondin (F)""A""";57;1967;;173;75;-0;2007-2008;FORWARDS
299;;;Alexis Codevelle (F);37;1986;Lyon, FRA;180;65;L;2007-2008;FORWARDS
300;;;"Emmanuel Delpet (F)""C""";47;1977;;175;71;-0;2007-2008;FORWARDS
301;;;Jeremy Pradel (F);34;1990;Toulouse, FRA;177;80;R;2007-2008;FORWARDS
302;;;Christophe Ribanelli (C);46;1977;Le Plessis-Bouchard, FRA;172;68;L;2007-2008;FORWARDS
303;;;Martin Serra (F);38;1986;Epinal, FRA;175;80;-0;2007-2008;FORWARDS
304;;;Anthony Wagret (F);38;1985;Valenciennes, FRA;185;90;L;2007-2008;FORWARDS
308;;;Xavier Chatelin (G);37;1986;Les Ulis, FRA;175;83;L;2008-2009;FORWARDS
309;;;Thomas Labonne (G);34;1990;;-0;-0;L;2008-2009;FORWARDS
310;;;Thomas Picavet (G);39;1985;Toulouse, FRA;177;69;L;2008-2009;FORWARDS
312;;;Nicolas Blum (D);39;1984;;165;65;R;2008-2009;DEFENSEMEN
313;;;Cyril Charenton (D);34;1990;;176;86;-0;2008-2009;DEFENSEMEN
314;;;Kévin Codevelle (D);35;1989;;-0;-0;R;2008-2009;DEFENSEMEN
315;;;Damien Gadiot (D);38;1985;Toulouse, FRA;180;78;L;2008-2009;DEFENSEMEN
316;;;Antoine Lombard (D);40;1983;;-0;-0;-0;2008-2009;DEFENSEMEN
317;;;Benoît Pourtanel (D);50;1974;Ris-Orangis, FRA;180;86;L;2008-2009;DEFENSEMEN
318;;;"Terry Prunier (D)""A""";40;1984;Rouen, FRA;186;88;L;2008-2009;DEFENSEMEN
319;;;Harold Ten Braak (D);39;1984;Dammarie-les-Lys, FRA;187;80;L;2008-2009;DEFENSEMEN
321;;;Lionel Barin (F);56;1968;;172;82;-0;2008-2009;FORWARDS
322;;;Kévin Benchabane (F);35;1988;Epinal, FRA;180;76;L;2008-2009;FORWARDS
323;;;"Alexis Codevelle (F)""A""";37;1986;Lyon, FRA;180;65;L;2008-2009;FORWARDS
324;;;"Emmanuel Delpet (F)""C""";47;1977;;175;71;-0;2008-2009;FORWARDS
325;;;Tommy Flinck (F);53;1971;Pori, FIN;192;95;L;2008-2009;FORWARDS
326;;;Jeremy Pradel (F);34;1990;Toulouse, FRA;177;80;R;2008-2009;FORWARDS
327;;;Christophe Ribanelli (C);46;1977;Le Plessis-Bouchard, FRA;172;68;L;2008-2009;FORWARDS
328;;;Martin Serra (F);38;1986;Epinal, FRA;175;80;-0;2008-2009;FORWARDS
329;;;Bryan Ten Braak (LW);34;1990;Dammarie-les-Lys, FRA;188;77;L;2008-2009;FORWARDS
330;;;Anthony Wagret (F);38;1985;Valenciennes, FRA;185;90;L;2008-2009;FORWARDS
334;;;Thomas Labonne (G);34;1990;;-0;-0;L;2009-2010;FORWARDS
335;;;Pierre Mauffrey (G);35;1988;Belfort, FRA;182;81;R;2009-2010;FORWARDS
336;;;Thomas Picavet (G);39;1985;Toulouse, FRA;177;69;L;2009-2010;FORWARDS
338;;;Cyril Charenton (D);34;1990;;176;86;-0;2009-2010;DEFENSEMEN
339;;;Kévin Codevelle (D);35;1989;;-0;-0;R;2009-2010;DEFENSEMEN
340;;;Damien Gadiot (D);38;1985;Toulouse, FRA;180;78;L;2009-2010;DEFENSEMEN
341;;;Antoine Lombard (D);40;1983;;-0;-0;-0;2009-2010;DEFENSEMEN
342;;;Benoît Pourtanel (D);50;1974;Ris-Orangis, FRA;180;86;L;2009-2010;DEFENSEMEN
343;;;"Terry Prunier (D)""A""";40;1984;Rouen, FRA;186;88;L;2009-2010;DEFENSEMEN
344;;;Harold Ten Braak (D);39;1984;Dammarie-les-Lys, FRA;187;80;L;2009-2010;DEFENSEMEN
346;;;Lionel Barin (F);56;1968;;172;82;-0;2009-2010;FORWARDS
347;;;"Alexis Codevelle (F)""A""";37;1986;Lyon, FRA;180;65;L;2009-2010;FORWARDS
348;;;Emmanuel Delpet (F);47;1977;;175;71;-0;2009-2010;FORWARDS
349;;;Rémi Doroginsky (LW);32;1991;;180;73;R;2009-2010;FORWARDS
350;;;Maxime Faup (C);32;1992;Toulouse, FRA;178;72;L;2009-2010;FORWARDS
351;;;Tommy Flinck (F);53;1971;Pori, FIN;192;95;L;2009-2010;FORWARDS
352;;;Jeremy Pradel (F);34;1990;Toulouse, FRA;177;80;R;2009-2010;FORWARDS
353;;;Christophe Ribanelli (C);46;1977;Le Plessis-Bouchard, FRA;172;68;L;2009-2010;FORWARDS
354;;;"Maurice Rozenthal (C)""C""";49;1975;Dunkerque, FRA;177;79;R;2009-2010;FORWARDS
355;;;Guillaume Solves (F);45;1979;;180;67;-0;2009-2010;FORWARDS
356;;;Anthony Wagret (F);38;1985;Valenciennes, FRA;185;90;L;2009-2010;FORWARDS
360;#31;;Chris Mannix (G);38;1986;Hubbardston, MA, USA;175;86;L;2010-2011;FORWARDS
361;#35;;Pierre Mauffrey (G);35;1988;Belfort, FRA;182;81;R;2010-2011;FORWARDS
362;#1;;Thomas Picavet (G);39;1985;Toulouse, FRA;177;69;L;2010-2011;FORWARDS
364;#4;;Damien Gadiot (D);38;1985;Toulouse, FRA;180;78;L;2010-2011;DEFENSEMEN
365;#21;;Kirk Golden (D/F);39;1984;Vail, CO, USA;178;79;L;2010-2011;DEFENSEMEN
366;#33;;Maxime Michaud (D);36;1987;Thonon-les-Bains, FRA;187;88;L;2010-2011;DEFENSEMEN
367;#18;;"Rémi Peronnard (C/D)""A""";38;1985;Grenoble, FRA;190;92;L;2010-2011;DEFENSEMEN
368;#12;;Benoît Pourtanel (D);50;1974;Ris-Orangis, FRA;180;86;L;2010-2011;DEFENSEMEN
369;#44;;Terry Prunier (D);40;1984;Rouen, FRA;186;88;L;2010-2011;DEFENSEMEN
370;#77;;Harold Ten Braak (D);39;1984;Dammarie-les-Lys, FRA;187;80;L;2010-2011;DEFENSEMEN
372;#17;;Alexis Codevelle (F);37;1986;Lyon, FRA;180;65;L;2010-2011;FORWARDS
373;#22;;Rémi Doroginsky (LW);32;1991;;180;73;R;2010-2011;FORWARDS
374;#92;;Maxime Faup (C);32;1992;Toulouse, FRA;178;72;L;2010-2011;FORWARDS
375;#55;;"Tommy Flinck (F)""A""";53;1971;Pori, FIN;192;95;L;2010-2011;FORWARDS
376;#13;;Augustin Gillardin (F);38;1985;Bastia, FRA;188;88;L;2010-2011;FORWARDS
377;#23;;François Hernández (F);37;1986;Chartres, FRA;180;70;L;2010-2011;FORWARDS
378;#16;;David Norström (F);37;1987;Växjö, SWE;181;86;L;2010-2011;FORWARDS
379;#76;;Antoine Pelisse (F);40;1983;Valence, FRA;186;77;R;2010-2011;FORWARDS
380;#3;;Jeremy Pradel (F);34;1990;Toulouse, FRA;177;80;R;2010-2011;FORWARDS
381;#19;;Christophe Ribanelli (C);46;1977;Le Plessis-Bouchard, FRA;172;68;L;2010-2011;FORWARDS
382;#9;;"Maurice Rozenthal (C)""C""";49;1975;Dunkerque, FRA;177;79;R;2010-2011;FORWARDS
383;#14;;Sébastien Savajol (F);42;1982;Toulon, FRA;172;70;L;2010-2011;FORWARDS
384;#10;;Anthony Wagret (F);38;1985;Valenciennes, FRA;185;90;L;2010-2011;FORWARDS
388;#72;;Niklas Lehti (G);34;1990;Reading, GBR;186;87;L;2011-2012;FORWARDS
389;#30;;Thibault Saez (G);36;1988;Cholet, FRA;188;85;L;2011-2012;FORWARDS
