,,,,,,,,,,
1990-1991 TOULOUSE-BLAGNAC ROSTER,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
,,,Damien Gadiot (D),38,1985,"Toulouse, FRA",180,78,L,
,,,Antoine Lombard (D),40,1983,,-0,-0,-0,
,,,Benoît Pourtanel (D),50,1974,"Ris-Orangis, FRA",180,86,L,
,,,"Terry Prunier (D)""A""",40,1984,"Rouen, FRA",186,88,L,
,,,Harold Ten Braak (D),39,1984,"Dammarie-les-Lys, FRA",187,80,L,
FORWARDS,,,,,,,,,,
,,,Lionel Barin (F),56,1968,,172,82,-0,
,,,Kévin Benchabane (F),35,1988,"Epinal, FRA",180,76,L,
,,,"Alexis Codevelle (F)""A""",37,1986,"Lyon, FRA",180,65,L,
,,,"Emmanuel Delpet (F)""C""",47,1977,,175,71,-0,
,,,Tommy Flinck (F),53,1971,"Pori, FIN",192,95,L,
,,,Jeremy Pradel (F),34,1990,"Toulouse, FRA",177,80,R,
,,,Christophe Ribanelli (C),46,1977,"Le Plessis-Bouchard, FRA",172,68,L,
,,,Martin Serra (F),38,1986,"Epinal, FRA",175,80,-0,
,,,Bryan Ten Braak (LW),34,1990,"Dammarie-les-Lys, FRA",188,77,L,
,,,Anthony Wagret (F),38,1985,"Valenciennes, FRA",185,90,L,
2009-2010 TOULOUSE-BLAGNAC ROSTER,,,,,,,,,,
,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
GOALTENDERS,,,,,,,,,,
,,,Thomas Labonne (G),34,1990,,-0,-0,L,
,,,Pierre Mauffrey (G),35,1988,"Belfort, FRA",182,81,R,
,,,Thomas Picavet (G),39,1985,"Toulouse, FRA",177,69,L,
DEFENSEMEN,,,,,,,,,,
,,,Cyril Charenton (D),34,1990,,176,86,-0,
,,,Kévin Codevelle (D),35,1989,,-0,-0,R,
,,,Damien Gadiot (D),38,1985,"Toulouse, FRA",180,78,L,
,,,Antoine Lombard (D),40,1983,,-0,-0,-0,
,,,Benoît Pourtanel (D),50,1974,"Ris-Orangis, FRA",180,86,L,
,,,"Terry Prunier (D)""A""",40,1984,"Rouen, FRA",186,88,L,
,,,Harold Ten Braak (D),39,1984,"Dammarie-les-Lys, FRA",187,80,L,
FORWARDS,,,,,,,,,,
,,,Lionel Barin (F),56,1968,,172,82,-0,
,,,"Alexis Codevelle (F)""A""",37,1986,"Lyon, FRA",180,65,L,
,,,Emmanuel Delpet (F),47,1977,,175,71,-0,
,,,Rémi Doroginsky (LW),32,1991,,180,73,R,
,,,Maxime Faup (C),32,1992,"Toulouse, FRA",178,72,L,
,,,Tommy Flinck (F),53,1971,"Pori, FIN",192,95,L,
,,,Jeremy Pradel (F),34,1990,"Toulouse, FRA",177,80,R,
,,,Christophe Ribanelli (C),46,1977,"Le Plessis-Bouchard, FRA",172,68,L,
,,,"Maurice Rozenthal (C)""C""",49,1975,"Dunkerque, FRA",177,79,R,
,,,Guillaume Solves (F),45,1979,,180,67,-0,
,,,Anthony Wagret (F),38,1985,"Valenciennes, FRA",185,90,L,
2010-2011 TOULOUSE-BLAGNAC ROSTER,,,,,,,,,,
,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
GOALTENDERS,,,,,,,,,,
,#31,,Chris Mannix (G),38,1986,"Hubbardston, MA, USA",175,86,L,
,#35,,Pierre Mauffrey (G),35,1988,"Belfort, FRA",182,81,R,
,#1,,Thomas Picavet (G),39,1985,"Toulouse, FRA",177,69,L,
DEFENSEMEN,,,,,,,,,,
,#4,,Damien Gadiot (D),38,1985,"Toulouse, FRA",180,78,L,
,#21,,Kirk Golden (D/F),39,1984,"Vail, CO, USA",178,79,L,
,#33,,Maxime Michaud (D),36,1987,"Thonon-les-Bains, FRA",187,88,L,
,#18,,"Rémi Peronnard (C/D)""A""",38,1985,"Grenoble, FRA",190,92,L,
,#12,,Benoît Pourtanel (D),50,1974,"Ris-Orangis, FRA",180,86,L,
,#44,,Terry Prunier (D),40,1984,"Rouen, FRA",186,88,L,
,#77,,Harold Ten Braak (D),39,1984,"Dammarie-les-Lys, FRA",187,80,L,
FORWARDS,,,,,,,,,,
,#17,,Alexis Codevelle (F),37,1986,"Lyon, FRA",180,65,L,
,#22,,Rémi Doroginsky (LW),32,1991,,180,73,R,
,#92,,Maxime Faup (C),32,1992,"Toulouse, FRA",178,72,L,
,#55,,"Tommy Flinck (F)""A""",53,1971,"Pori, FIN",192,95,L,
